Fecha;Prediccion_Cantidad
2025-01-01;697
2025-01-02;713
2025-01-03;754
2025-01-04;744
2025-01-05;545
2025-01-06;827
2025-01-07;734
2025-01-08;732
2025-01-09;756
2025-01-10;748
2025-01-11;751
2025-01-12;586
2025-01-13;799
2025-01-14;722
2025-01-15;728
2025-01-16;749
2025-01-17;739
2025-01-18;741
2025-01-19;532
2025-01-20;785
2025-01-21;719
2025-01-22;718
2025-01-23;739
2025-01-24;748
2025-01-25;755
2025-01-26;563
2025-01-27;798
2025-01-28;712
2025-01-29;716
2025-01-30;732
2025-01-31;725
2025-02-01;712
2025-02-02;534
2025-02-03;780
2025-02-04;712
2025-02-05;734
2025-02-06;753
2025-02-07;752
2025-02-08;731
2025-02-09;551
2025-02-10;802
2025-02-11;738
2025-02-12;738
2025-02-13;755
2025-02-14;752
2025-02-15;739
2025-02-16;519
2025-02-17;786
2025-02-18;728
2025-02-19;721
2025-02-20;739
2025-02-21;737
2025-02-22;730
2025-02-23;503
2025-02-24;789
2025-02-25;727
2025-02-26;693
2025-02-27;701
2025-02-28;656
2025-03-01;256
2025-03-02;148
2025-03-03;222
2025-03-04;206
2025-03-05;206
2025-03-06;205
2025-03-07;209
2025-03-08;208
2025-03-09;151
2025-03-10;228
2025-03-11;211
2025-03-12;211
2025-03-13;211
2025-03-14;210
2025-03-15;209
2025-03-16;151
2025-03-17;228
2025-03-18;212
2025-03-19;211
2025-03-20;211
2025-03-21;210
2025-03-22;209
2025-03-23;151
2025-03-24;229
2025-03-25;212
2025-03-26;211
2025-03-27;211
2025-03-28;211
2025-03-29;209
2025-03-30;149
2025-03-31;229
